Gene,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-6b,Hw2-6c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-6a,Wt2-6b,Wt2-6c
TOP3A,88,123,166,91,176,103,105,92,106,174,34
Top3b,241,301,268,280,328,95,209,134,122,228,110
TOPP2,23,39,28,23,21,3,13,1,6,4,2
TRAPPC8,59,80,70,52,59,29,60,52,54,127,32
trmA,93,102,106,67,83,45,68,67,71,130,74
trmB,129,172,179,152,165,96,109,95,97,248,88
Trmo,244,265,238,191,171,48,125,60,48,110,37
TRO,75,109,109,46,94,88,63,83,107,193,73
trpt1,215,292,271,239,242,106,183,128,104,250,77
TSPEAR,310,373,308,247,237,172,193,203,209,376,128
TTLL11,469,505,512,417,337,154,255,175,152,329,107
TTLL5,270,369,382,262,385,62,197,58,83,214,77
TTN,476,588,595,296,396,136,296,198,192,371,139
TUBA,408,445,400,259,304,205,284,243,242,432,162
tuf,168,230,245,209,177,106,120,86,103,202,66
tufB,96,151,168,195,235,108,163,96,104,203,57
TY5A,102,128,105,150,100,54,91,78,104,169,60
tycC,234,283,304,165,173,115,115,85,89,211,67
Uba1,325,390,413,287,402,101,263,142,152,279,92
UBC6,434,467,408,345,426,242,288,240,256,488,155
UBP19,767,907,851,758,869,276,543,295,304,672,194
UCHL3,359,382,311,332,309,130,251,115,117,283,114
UGP1,539,627,580,385,428,179,269,201,196,375,116
UGT80A2,219,265,283,169,262,156,124,86,112,232,80
UGT80B1,125,160,151,98,113,54,79,54,62,136,43
unc-104,58,58,52,33,23,49,32,44,58,102,34
UNC93A,443,474,474,366,464,146,278,155,173,310,107
upf1,665,711,588,587,649,322,421,390,372,770,265
UPL3,358,329,325,304,337,72,186,77,89,154,52
URH2,119,154,150,96,104,55,76,37,49,105,27
URT1,337,483,490,206,275,184,222,156,193,393,134
UVR8,920,1072,1102,961,1127,449,705,488,468,1020,347
uxaA,95,102,102,87,70,204,66,168,189,378,145
VAP,104,94,128,87,85,28,77,23,31,86,27
VDE1,64,87,63,62,51,37,52,31,37,79,31
VIII-A,173,194,191,144,134,75,108,72,65,140,54
VPS10,295,399,372,179,217,118,124,76,92,210,69
vps34,272,397,310,273,346,176,198,172,156,329,107
VPS54,95,112,102,84,123,72,84,70,71,182,63
VPS9A,103,155,151,141,131,51,122,60,57,121,36
Vti1a,283,324,370,246,289,125,186,98,128,240,85
Vwa8,168,207,222,285,448,190,295,258,270,459,140
vwkA,6,6,3,115,130,51,103,60,59,111,35
w,482,604,612,477,602,388,408,392,432,817,240
warA,60,101,92,70,109,88,89,70,84,163,54
Wdr35,794,944,936,723,965,448,674,422,446,995,284
wdsub1,16,16,18,21,11,5,9,3,4,14,7
Wrn,163,230,235,153,191,125,163,112,134,276,101
XI-2,74,119,153,67,133,79,96,64,53,138,40
xpot,94,147,112,126,121,52,76,54,44,107,33
Xylb,208,226,209,225,259,146,225,177,167,422,90
ybaR,386,455,473,344,359,125,232,138,130,279,100
ybiA,114,138,145,67,106,65,71,73,65,139,56
ycf24,177,194,199,184,214,114,167,129,104,250,76
yciC,416,478,446,324,351,143,284,141,131,275,94
YPL264C,91,118,131,73,101,37,74,32,44,98,35
ywtG,228,266,311,259,300,157,216,106,105,292,96
Zdhhc9,118,146,134,90,116,72,84,71,57,126,31
ZFP36,384,418,406,338,397,159,245,176,152,363,87
ZGRF1,154,207,187,175,160,87,90,91,116,238,79
zmpB,126,193,201,141,143,97,110,94,94,198,54
ZNFX1,76,131,111,92,124,42,75,39,38,105,24
13033,61,56,64,25,37,19,17,13,23,54,6
2E4.130,30,41,33,25,41,28,30,18,34,56,23
36900,33,44,21,24,25,2,20,1,4,9,3
6454,135,173,178,143,178,65,118,53,65,107,46
6GAL,191,245,242,162,209,107,155,102,93,208,56
A2Z30_08115,11,11,13,10,19,3,14,2,1,9,8
AADAC,1,2,2,5,6,5,4,1,3,11,7
AAE3,377,343,321,294,310,150,196,110,118,290,80
AAEL002956,160,238,197,151,217,266,197,300,343,661,227
AAEL003481,20,20,26,40,50,21,30,20,39,62,26
AAEL003512,342,356,412,348,407,147,245,114,140,292,93
AAEL004607,9,17,22,4,5,3,3,4,3,7,5
AAEL005527,72,96,92,62,80,26,49,45,35,72,18
AAEL011789,269,298,306,251,342,138,249,204,210,387,131
AAO2,94,130,115,77,104,48,72,51,66,134,50
Aar2,200,171,173,135,134,89,140,123,142,220,83
aarA,13,32,37,13,40,0,29,2,2,2,1
ABC1687,32,41,34,32,41,39,28,20,26,50,14
ABC1K1,119,116,95,116,127,67,71,83,89,192,80
ABCA1,143,211,210,128,148,67,115,65,78,171,58
abcA7,510,583,540,575,602,267,417,297,320,632,225
ABCB1,47,88,88,79,56,29,57,29,22,51,27
ABCB25,9,21,22,11,15,8,17,8,14,39,17
abcB3,8,18,22,10,12,7,6,7,4,12,1
Abcb6,19,16,16,52,68,65,49,67,71,172,62
Abcb7,47,60,55,48,58,4,25,9,12,17,7
abcC3,37,38,54,27,42,20,36,18,29,48,24
abcC8,23,18,23,27,12,4,10,22,39,61,21
abcD2,129,155,133,117,117,61,105,64,64,133,54
Abcd3,237,250,250,193,193,71,163,102,90,194,62
ABCF2,33,42,38,12,8,14,13,20,18,41,13
Abcf3,82,104,111,145,182,90,133,95,85,203,73
ABCF4,71,110,86,105,88,30,67,16,22,61,23
ABCG25,33,39,53,32,57,33,59,37,31,62,24
ABCG26,151,187,198,148,177,55,111,59,55,118,52
ABCG5,55,80,93,40,108,86,70,55,88,131,72
ABCG7,63,93,82,51,89,38,59,54,49,96,22
ABCI20,132,143,137,131,162,61,87,70,73,124,40
abfB,163,159,186,148,172,112,129,103,98,213,67
abhd11,29,33,26,31,24,12,25,15,27,42,17
ABHD17A,333,382,327,250,294,126,187,147,111,283,81
abhd17c,58,73,42,47,50,18,25,20,25,46,10
ABHD3,19,17,16,140,206,76,160,97,109,209,68
abkD,5,4,7,3,5,8,3,5,8,16,4
ACAA1,45,47,52,18,45,40,36,57,55,90,26
Acaa1a,307,376,401,192,412,128,236,110,149,246,92
Acaa1b,212,282,266,176,295,74,198,75,108,185,60
ACACA,6,12,8,14,19,6,9,4,16,17,9
acadsb,166,189,210,147,175,79,120,85,83,190,50
acbd6,111,163,134,157,199,87,137,73,87,172,65
ACBP2,201,265,256,199,200,95,125,82,79,214,69
ACBP3,207,276,252,223,260,134,175,108,119,258,101
AcCoAS,3,8,9,6,8,11,6,12,14,13,6
aceE,18,22,15,13,14,215,60,183,189,406,151
Acel_1111,88,134,122,89,104,29,82,47,39,66,20
ACER3,16,19,20,28,16,20,13,18,22,24,8
ACHE,118,130,114,90,95,63,85,75,97,184,62
Acot11,100,124,102,74,102,27,64,30,33,84,32
ACOX3,170,206,152,151,205,108,131,107,124,268,75
ACOXL,16,23,24,22,16,13,15,10,9,27,13
ACP2,153,171,145,182,211,90,150,110,120,213,56
ACP7,19,22,12,21,27,17,39,9,20,40,8
acr-16,15,13,14,27,28,24,9,24,20,31,15
acr-7,0,0,0,0,0,50,9,40,45,103,45
acsA,8,8,7,3,10,5,5,7,9,12,8
Acsf3,138,192,171,141,194,111,129,107,121,226,86
ACT1,2,6,5,9,2,8,3,11,14,16,3
acuI,26,36,35,26,82,31,45,28,32,87,19
Acy1,39,33,26,26,21,9,20,11,13,25,5
Adamts20,199,260,242,176,216,201,202,206,212,402,136
ADAMTS9,2,1,4,1,3,14,11,15,12,37,7
ADCY10,302,384,441,302,540,203,325,207,260,403,135
ADE1,73,101,143,128,273,59,132,45,52,86,36
ADGRB3,37,38,61,29,84,10,28,16,21,47,3
adhA,208,225,223,163,192,38,117,52,61,113,29
adhC2,145,180,186,148,159,58,93,60,74,142,45
adhT,130,198,152,186,165,49,107,46,53,117,40
ADJ80_02965,21,38,39,29,25,15,25,17,12,32,25
ADK2,3,4,2,2,4,26,10,34,22,46,15
Adprm,421,407,365,356,397,145,313,188,179,321,106
adrm1b,83,89,107,86,109,27,76,44,41,65,24
AFC1,44,42,43,28,50,9,24,6,7,21,13
AFUA_2G14360,22,42,27,37,47,23,24,27,24,47,14
AG118,7,8,10,6,13,19,11,27,29,58,9
agaA,100,121,118,29,28,50,47,61,61,129,41
agaB34,174,211,236,106,156,93,125,80,84,194,53
AGAL3,147,188,164,117,131,89,113,69,87,162,44
AGAP006244,198,270,282,202,221,188,184,196,180,356,111
Agbl1,3,8,2,6,16,11,8,7,9,16,6
AGD12,160,156,177,160,176,63,109,77,78,147,63
AGL,54,77,57,30,64,45,41,38,44,89,28
AGL188W,30,40,43,37,39,3,16,9,10,28,5
ags1,2,3,2,4,12,6,6,3,5,5,3
AIDA,68,58,58,53,52,44,44,34,41,74,23
aidB,5,13,4,7,11,3,6,3,7,10,4
aifA,170,191,196,182,215,85,147,82,89,118,43
AIP1,256,270,252,222,251,258,221,269,278,515,150
AIP1-1,109,147,125,227,299,130,186,105,121,268,95
AK812_SmicGene11672,65,57,67,47,60,24,42,33,25,72,17
AK812_SmicGene12293,80,91,72,55,59,41,38,71,63,99,23
AK812_SmicGene12873,20,28,18,7,25,43,18,28,51,27,34
AK812_SmicGene13469,85,119,120,78,95,23,52,21,27,63,17
AK812_SmicGene13780,1,8,11,9,4,5,2,7,10,4,3
AK812_SmicGene13884,8,10,14,65,118,61,77,35,47,84,27
AK812_SmicGene13956,203,230,276,216,256,97,174,106,88,195,63
AK812_SmicGene14054,5,7,5,6,5,6,6,5,9,11,5
AK812_SmicGene14180,37,32,34,21,40,7,19,7,12,17,3
AK812_SmicGene14482,131,162,169,122,177,61,94,52,58,106,30
AK812_SmicGene14486,52,62,44,45,30,36,41,30,39,86,27
AK812_SmicGene14667,21,28,26,36,16,11,17,15,5,29,11
AK812_SmicGene15117,59,86,103,70,72,29,46,30,27,52,17
AK812_SmicGene15320,60,76,81,105,103,40,85,52,40,99,32
AK812_SmicGene15535,37,43,34,30,28,7,12,9,9,19,9
AK812_SmicGene15563,4,4,3,7,4,2,3,3,1,3,4
AK812_SmicGene16729,173,123,121,91,148,24,54,38,39,84,22
AK812_SmicGene16768,0,0,1,2,0,0,2,1,4,4,7
AK812_SmicGene16779,14,19,20,15,24,2,24,45,32,67,26
AK812_SmicGene17551,94,69,71,76,122,31,79,42,37,100,44
AK812_SmicGene177,68,100,102,103,73,25,74,50,38,111,26
AK812_SmicGene18193,19,14,17,21,16,8,19,14,13,13,1
AK812_SmicGene18281,3,4,4,3,8,1,5,2,1,1,0
AK812_SmicGene18284,188,185,163,112,108,119,112,93,102,195,60
AK812_SmicGene18464,20,18,22,41,57,22,22,13,18,36,10
AK812_SmicGene18503,34,49,37,40,40,14,26,25,28,55,13
AK812_SmicGene18945,143,183,170,167,189,87,128,88,80,206,70
AK812_SmicGene19008,5,12,3,8,7,0,6,0,1,3,5
AK812_SmicGene19111,87,114,117,87,101,38,58,41,40,100,24
AK812_SmicGene1967,10,7,11,6,13,2,7,1,5,6,2
AK812_SmicGene20146,1,4,8,4,5,11,10,22,17,36,7
AK812_SmicGene2049,75,77,88,91,81,33,51,32,42,60,23
AK812_SmicGene20544,142,199,184,143,165,119,118,75,89,188,62
AK812_SmicGene20806,17,28,34,23,36,9,28,11,11,23,7
AK812_SmicGene20960,397,468,467,396,342,171,224,156,169,302,108
AK812_SmicGene20981,33,39,38,36,31,14,21,13,11,33,9
AK812_SmicGene21003,10,10,10,15,11,7,7,11,16,27,5
AK812_SmicGene21062,63,65,41,44,41,17,24,25,16,27,9
AK812_SmicGene21080,11,13,26,20,35,12,20,9,7,25,12
AK812_SmicGene21211,21,32,37,20,26,24,12,25,27,58,19
AK812_SmicGene21937,16,24,27,14,8,5,6,3,7,12,4
AK812_SmicGene22034,101,125,105,73,48,37,46,36,24,63,23
AK812_SmicGene22262,3,3,5,6,12,37,6,24,20,58,24
AK812_SmicGene22269,14,24,16,13,5,0,6,0,0,1,0
AK812_SmicGene22306,74,124,110,136,114,40,69,40,45,94,28
AK812_SmicGene22430,38,61,60,37,59,10,27,19,19,47,11
AK812_SmicGene22656,183,226,227,195,190,129,147,137,126,285,98
AK812_SmicGene23207,16,11,17,17,22,1,6,3,3,2,5
AK812_SmicGene23574,71,98,105,74,74,44,62,46,43,103,33
AK812_SmicGene23595,3,0,1,1,0,1,0,1,4,3,2
AK812_SmicGene2419,116,148,121,124,151,57,103,61,76,132,48
AK812_SmicGene24373,213,241,271,243,245,72,148,72,74,139,41
AK812_SmicGene24476,71,104,77,44,44,29,39,29,21,61,11
AK812_SmicGene24524,2,6,6,17,11,6,20,3,11,16,7
AK812_SmicGene24564,0,0,0,0,0,13,6,5,10,18,0
AK812_SmicGene24679,3,5,4,1,2,0,3,0,0,0,0
AK812_SmicGene24741,9,13,16,7,8,2,12,1,2,4,1
AK812_SmicGene25061,63,63,60,50,40,17,27,17,16,37,7
AK812_SmicGene25379,217,218,272,230,278,91,174,97,110,223,82
AK812_SmicGene25430,72,90,69,72,73,28,53,34,29,58,19
AK812_SmicGene25898,53,58,52,27,21,29,19,31,34,59,19
AK812_SmicGene26211,22,41,38,48,32,13,20,9,11,22,10
AK812_SmicGene26829,7,16,22,10,24,4,14,13,10,25,13
AK812_SmicGene26895,239,310,293,208,340,77,185,54,74,151,49
AK812_SmicGene26898,102,131,137,130,147,57,81,33,41,95,44
AK812_SmicGene28,50,61,65,39,51,35,40,16,33,60,12
AK812_SmicGene28199,100,130,101,131,106,66,81,65,62,125,46
AK812_SmicGene28286,84,93,92,92,107,71,77,65,56,131,47
AK812_SmicGene28609,184,211,194,120,105,138,93,103,126,224,88
AK812_SmicGene28881,39,67,63,41,43,13,35,13,12,18,15
AK812_SmicGene28950,103,120,131,112,131,21,74,39,44,124,32
AK812_SmicGene29814,25,23,13,16,18,2,8,1,4,5,6
AK812_SmicGene29927,11,20,22,14,10,12,11,8,4,20,10
AK812_SmicGene30020,1,4,1,8,2,3,1,4,4,1,6
AK812_SmicGene30278,44,69,58,48,25,13,26,16,20,46,8
AK812_SmicGene30486,324,405,410,177,169,260,155,216,211,396,166
AK812_SmicGene31484,293,271,228,219,269,152,243,208,188,305,106
AK812_SmicGene31537,281,386,372,343,338,182,238,207,196,391,125
AK812_SmicGene31550,28,26,21,13,7,7,6,1,3,4,3
AK812_SmicGene31628,140,146,129,117,84,27,61,39,43,93,25
AK812_SmicGene31801,20,37,20,72,64,37,61,51,39,86,36
AK812_SmicGene32143,34,42,45,25,31,13,18,12,8,28,8
AK812_SmicGene32175,29,40,37,68,93,19,68,30,42,94,21
AK812_SmicGene32534,50,74,63,51,61,73,55,64,66,158,54
AK812_SmicGene33142,250,336,406,228,453,173,281,119,154,349,85
AK812_SmicGene33164,174,198,196,188,214,65,122,78,66,150,38
AK812_SmicGene33715,16,19,32,29,38,51,45,25,31,66,18
AK812_SmicGene33896,115,137,139,135,162,82,110,100,113,163,69
AK812_SmicGene34204,87,128,99,128,174,121,134,147,136,285,103
AK812_SmicGene34441,15,13,19,20,23,4,20,10,11,35,9
AK812_SmicGene34649,5,8,3,4,9,19,11,10,14,25,6
AK812_SmicGene34664,64,89,76,90,113,27,86,32,35,74,35
AK812_SmicGene34941,257,270,221,193,212,101,126,113,117,225,77
AK812_SmicGene3557,0,1,4,0,3,5,6,9,9,31,8
AK812_SmicGene35803,15,11,10,10,11,4,7,16,23,40,12
AK812_SmicGene36,35,39,30,25,27,1,15,7,6,19,6
AK812_SmicGene36189,26,57,32,43,41,47,28,38,52,86,32
AK812_SmicGene36363,14,17,16,13,11,3,6,1,2,9,2
AK812_SmicGene36391,22,30,23,20,23,21,9,28,18,48,17
AK812_SmicGene36418,113,122,93,93,97,49,77,55,54,121,35
AK812_SmicGene37141,84,117,86,87,92,66,68,62,69,148,39
AK812_SmicGene37382,188,229,235,230,282,67,170,71,66,114,45
AK812_SmicGene37972,62,73,68,75,55,29,53,32,35,69,36
AK812_SmicGene38714,14,16,25,15,9,4,6,2,5,3,4
AK812_SmicGene38747,79,109,114,104,153,61,84,62,56,144,45
AK812_SmicGene39686,124,154,142,160,163,85,145,51,80,178,66
AK812_SmicGene39795,23,34,19,29,28,18,12,16,22,35,12
AK812_SmicGene39947,42,54,42,31,48,17,44,15,17,39,16
AK812_SmicGene41491,83,78,64,47,41,26,38,21,26,53,18
AK812_SmicGene41654,106,106,79,84,72,34,58,47,54,104,23
AK812_SmicGene4195,63,84,81,78,61,29,44,21,23,52,24
AK812_SmicGene42205,15,10,11,5,7,1,1,2,2,6,1
AK812_SmicGene42282,26,33,19,26,23,17,17,17,23,48,20
AK812_SmicGene42478,333,450,454,263,370,150,260,160,152,315,93
AK812_SmicGene42885,39,42,38,30,40,34,35,33,35,49,14
AK812_SmicGene434,5,7,3,3,5,3,3,3,7,17,4
AK812_SmicGene43432,4,6,3,3,4,2,3,7,10,17,5
AK812_SmicGene43485,118,183,169,91,174,183,92,133,128,301,130
AK812_SmicGene43656,72,107,120,28,37,37,45,38,25,65,19
AK812_SmicGene44292,0,0,0,0,0,0,0,0,27,52,52
AK812_SmicGene4925,4,0,2,3,4,4,6,6,3,15,0
AK812_SmicGene494,26,27,18,10,7,9,11,5,8,12,5
AK812_SmicGene5213,34,25,28,23,63,29,37,37,25,52,15
AK812_SmicGene5452,9,20,22,14,24,10,13,23,20,26,8
AK812_SmicGene5663,26,34,48,18,66,26,37,26,29,55,11
AK812_SmicGene5925,58,90,73,108,121,53,112,46,33,101,28
AK812_SmicGene5978,51,60,46,65,51,16,35,27,24,77,30
AK812_SmicGene617,6,6,19,11,8,1,7,3,5,10,3
AK812_SmicGene6745,83,115,100,75,90,34,45,36,35,58,19
AK812_SmicGene6889,52,54,82,41,92,60,57,47,48,65,41
AK812_SmicGene7068,59,37,44,15,21,17,11,17,15,30,6
AK812_SmicGene7686,12,6,5,12,9,4,9,7,9,24,6
AK812_SmicGene7786,72,79,94,184,266,33,153,31,51,129,96
AK812_SmicGene7918,151,188,182,148,173,117,112,82,79,215,94
AK812_SmicGene8098,91,90,82,72,82,34,51,26,36,50,21
AK812_SmicGene845,15,22,12,9,9,1,10,2,3,3,4
AK812_SmicGene8477,27,38,51,31,47,24,31,22,23,51,16
AK812_SmicGene8686,259,319,308,220,252,104,185,106,147,243,85
AK812_SmicGene8970,73,119,129,78,132,40,72,38,61,115,35
AK812_SmicGene9044,133,160,147,263,268,80,167,78,92,218,69
AK812_SmicGene916,44,61,56,44,33,10,27,3,9,12,4
AKHSDH1,135,102,122,159,138,68,91,95,93,162,70
AKHSDH2,116,97,90,91,99,18,47,21,19,33,23
akr1a1b,95,94,81,83,63,29,39,25,28,62,16
AKR2A,383,343,335,251,301,216,267,350,300,594,214
AKR2B,130,150,166,130,153,43,83,58,66,125,44
AKR4C9,186,275,222,144,153,136,121,127,157,311,108
AKT1,312,401,377,287,326,73,224,84,80,187,69
AKT5,27,45,50,26,53,30,37,24,42,55,17
AL1,248,311,284,233,283,89,178,100,89,244,75
ALA3,12,17,7,8,8,30,7,27,26,61,23
ALA7,26,33,36,34,32,16,25,15,12,21,13
ALATS,82,103,79,55,89,65,65,81,94,181,94
ald,226,249,244,203,258,93,142,91,65,135,40
ALDH6A1,102,137,110,87,82,41,64,51,37,97,27
ALDH8A1,18,20,24,19,29,5,16,9,3,15,3
ALDOB,38,43,44,21,26,10,15,5,14,22,8
alg13,113,163,149,106,105,57,88,58,42,147,32
alkK,238,303,256,188,255,110,163,113,112,291,103
ALMA1,218,270,235,147,179,157,142,143,182,356,108
ALMA6,182,184,229,131,241,72,134,85,82,144,30
ALP1,88,136,119,84,114,25,63,17,35,74,14
alr2987,68,88,90,41,94,39,54,42,38,92,19
alr3912,32,51,36,41,46,11,20,7,6,24,5
ALTA7,13,16,9,6,5,5,10,16,7,33,10
AMC9,28,42,46,26,18,5,20,14,4,18,5
ampD,176,256,220,238,276,169,182,125,133,300,110
Ampd2,87,95,88,68,88,51,56,56,46,111,31
amt-1,263,343,330,249,257,120,198,115,105,264,78
AMT1-3,480,434,436,341,393,164,293,213,164,295,125
amtB,57,64,70,55,70,40,42,21,24,46,22
AMY1,315,377,422,276,395,154,209,179,173,398,121
AMY1.2,112,175,206,65,213,53,129,65,66,113,48
amyB,193,251,242,184,249,116,161,83,91,173,80
Amyrel,73,92,79,69,70,47,62,47,64,125,44
Amz1,139,175,129,120,96,31,64,33,34,79,32
AMZ2,63,81,77,63,102,30,56,36,44,83,38
AN1805,94,109,95,93,94,41,56,54,50,76,20
angel,309,308,347,313,365,236,308,261,297,582,220
ANKHD1,77,91,94,117,101,57,78,65,68,129,45
ANKRD11,31,45,46,27,47,5,12,7,11,15,3
Ankrd13c,44,43,56,54,44,59,38,44,39,82,37
ANKRD28,129,148,127,80,93,17,40,27,32,52,31
ANKRD37,40,35,42,27,47,41,26,43,34,92,13
ANKRD46,154,138,148,150,140,60,94,67,41,130,38
Ano10,69,69,67,53,61,0,30,6,12,15,10
ANO5,87,112,122,77,124,70,75,36,51,113,43
ANO9,43,53,42,54,56,26,37,23,19,68,15
ANS,26,36,27,10,22,11,14,8,11,19,12
ANT1,352,423,324,275,316,173,213,164,134,344,94
ANX2,21,12,12,10,12,17,12,9,11,34,12
ANXA4,247,361,335,298,304,84,207,69,72,136,58
AOX1,16,29,22,13,36,21,29,20,13,43,10
AOX1A,148,162,142,302,298,119,201,128,131,269,92
ap1b1,31,53,58,43,69,13,40,7,10,23,7
AP1M1,30,37,30,19,30,18,11,15,16,36,11
AP4M,13,25,27,9,18,8,10,10,6,17,4
apf9,82,122,140,98,99,51,67,40,32,91,27
aprA,164,179,193,194,230,117,158,130,116,281,101
APUM3,388,468,549,417,506,173,317,185,197,381,147
APUM6,91,93,123,42,84,27,57,35,33,81,24
APX1,242,288,302,193,261,62,142,65,57,168,40
APX3,63,46,50,19,16,1,4,0,1,1,0
APX5,157,177,149,63,88,48,63,58,53,151,41
APX8,102,133,127,94,99,29,68,59,32,86,35
APY,83,100,109,45,47,40,35,31,37,65,27
AQP1,190,240,242,220,231,146,175,143,141,271,101
AQPA,25,19,19,21,16,11,11,23,14,35,15
aqpB,23,27,19,37,30,12,22,19,19,37,12
aquIMA,0,2,2,1,1,2,2,4,2,7,1
ARB_02390,104,130,121,79,107,79,77,85,93,178,52
ARB_03789,57,68,64,36,63,55,53,59,57,107,33
arf3,245,220,194,387,468,233,429,372,348,545,195
arf4,616,569,548,482,527,175,369,193,187,421,147
arfA,440,347,301,200,266,77,175,106,87,185,78
Arfgef1,12,19,19,3,33,12,24,16,17,30,6
argS,124,147,145,92,122,47,84,58,59,99,46
ARI11,26,25,19,25,22,17,19,28,14,41,15
ARI5,84,85,87,81,56,58,55,70,52,119,35
Armc6,7,3,3,3,5,1,3,4,12,10,5
ARP4,68,72,59,59,67,31,61,40,48,80,32
ARP6,104,136,159,43,61,39,55,38,44,76,20
ARPC1B,29,41,29,25,28,21,20,22,40,47,23
arsC,90,104,105,99,120,46,80,54,64,131,32
arsH,20,22,18,19,14,24,19,31,30,50,17
asah-2,302,316,306,200,249,166,152,159,185,346,93
Asb14,5,6,7,2,5,6,7,2,6,14,3
ASB2,80,119,104,106,137,97,88,77,86,213,66
ASB3,286,402,359,243,250,100,176,106,111,227,99
asd,207,215,234,237,258,87,167,98,103,195,58
ASK4,231,273,254,196,284,82,176,109,141,243,65
aspA,51,75,81,73,86,1,55,0,3,6,3
Asrgl1,6,9,8,6,23,0,9,4,3,8,0
At1g07170,76,56,53,39,52,11,32,11,12,28,9
At1g09620,327,472,463,232,278,97,176,105,95,216,75
At1g11540,51,51,52,49,38,9,26,12,14,38,12
At1g11960,166,201,232,183,171,82,97,88,97,177,60
At1g12300,65,63,58,49,36,55,41,56,42,80,32
At1g12500,120,151,129,110,135,53,77,63,73,133,46
At1g12775,77,87,85,92,89,27,69,30,34,60,21
At1g18010,56,83,82,79,73,4,48,6,8,14,7
At1g21780,152,147,148,85,108,37,76,45,48,89,29
At1g27530,139,162,127,92,82,36,46,39,26,64,19
At1g31820,12,13,19,14,15,7,12,4,3,12,6
At1g31830,58,87,92,55,59,33,40,45,63,102,46
At1g34500,74,103,114,142,132,87,123,82,94,197,59
At1g35710,0,6,2,0,2,1,2,1,1,6,0
At1g51965,98,144,152,85,176,97,120,72,86,165,46
At1g53660,229,235,240,190,177,84,157,102,102,213,51
At1g55760,41,67,66,43,53,25,28,10,28,41,13
At1g62910,109,118,139,77,121,49,91,48,59,109,25
At1g62930,157,186,164,160,195,82,148,84,94,216,63
At1g63080,26,42,21,22,25,10,20,28,18,50,14
At1g63130,5,4,7,6,6,3,6,3,5,7,4
At1g63330,6,4,3,3,4,4,4,2,8,11,3
At1g63400,107,147,138,111,115,77,90,77,81,175,71
At1g67300,72,109,82,74,77,58,50,51,53,116,28
At1g67325,215,252,291,193,241,90,158,97,115,218,83
At1g73020,227,298,254,199,280,113,178,122,119,242,90
At1g78280,42,48,50,25,30,32,29,22,30,64,23
At2g16880,46,60,63,43,58,16,44,13,20,46,13
At2g19790,241,152,148,147,180,36,120,59,48,85,39
At2g23950,18,37,51,17,26,7,16,7,11,32,6
At2g25737,62,61,59,135,126,50,85,34,49,88,35
At2g25790,69,102,80,86,101,113,72,60,60,149,41
At2g28450,111,117,98,93,119,71,90,92,87,195,48
At2g29580,190,240,246,197,224,125,180,151,143,327,91
At2g32040,175,186,242,168,151,53,126,45,81,151,39
At2g32560,82,93,108,122,196,112,142,75,69,165,40
At2g33840,63,63,80,196,258,634,354,724,735,1415,230
At2g35920,29,26,39,23,58,25,33,26,30,63,33
At2g44920,37,39,32,30,30,18,23,10,12,24,8
At2g45640,41,38,38,45,31,25,28,13,14,45,13
At3g03300,3,7,3,3,8,7,8,6,5,17,6
At3g04130,21,16,30,19,19,8,11,7,13,14,5
At3g06920,168,208,199,199,195,142,134,128,138,303,69
At3g07100,155,228,203,237,281,127,201,124,129,267,84
At3g15020,42,59,40,43,42,27,35,20,21,66,12
At3g17800,49,49,55,23,43,11,29,14,13,37,10
At3g19950,163,160,153,118,121,68,71,84,80,215,52
At3g21360,30,37,32,28,45,24,37,24,29,74,22
At3g22470,66,107,95,88,97,46,60,50,56,128,42
At3g28040,97,125,119,72,57,41,42,28,21,52,15
At3g45870,34,44,35,53,75,14,33,29,23,59,10
At3g47120,235,218,195,232,269,150,168,190,177,312,127
At3g58530,65,92,92,68,88,33,59,44,39,105,24
At3g62310,70,126,119,83,101,27,60,27,34,66,19
At3g63330,160,191,199,113,158,65,112,58,58,95,39
At4g04670,16,31,39,32,26,2,14,6,8,16,7
At4g08455,49,49,51,50,34,7,24,13,6,28,10
At4g09760,54,43,28,56,62,30,44,22,23,45,19
At4g15470,63,89,100,73,55,13,43,20,13,54,30
At4g21250,64,89,78,20,29,54,27,68,53,106,34
At4g29530,105,80,88,82,91,47,68,44,68,142,43
At4g30220,110,106,133,95,111,30,55,32,29,37,16
At4g32390,33,56,49,48,44,62,35,41,39,86,39
At4g32640,159,222,208,177,251,163,160,156,127,315,92
At4g32950,93,133,122,94,140,44,93,58,61,110,48
At4g34450,187,263,245,184,309,124,193,114,113,245,69
At4g39280,303,304,243,268,295,101,175,124,94,170,41
At5g05820,47,46,34,42,37,30,47,44,34,70,19
At5g06550,300,308,236,176,132,4,51,18,8,23,8
At5g08180,47,57,50,49,35,19,33,14,11,37,12
At5g10020,93,97,139,29,105,109,70,64,78,200,62
At5g25050,187,271,282,174,209,119,153,168,179,384,101
At5g26710,193,241,198,280,284,111,214,106,101,258,79
At5g36290,38,52,43,45,45,29,37,26,29,60,14
At5g39980,65,79,90,57,41,13,33,26,13,32,7
At5g45370,98,104,114,74,88,112,88,84,108,234,76
At5g51130,41,34,36,36,52,15,20,9,17,30,8
At5g56900,61,64,67,38,40,9,28,20,18,38,15
At5g61990,117,138,145,151,190,95,128,84,82,204,66
